,male_prop,hr_dno_ou_oat,n_abs_od,n_ou_od_mult,n_ou_oat_odn_mult,n_ou_oat_odf_mult,hr_tx_pp_inc,hr_tx_pp_prev,hr_death_pp_inc,hr_death_pp_prev,hr_tx_itt_ps_inc,hr_tx_itt_ps_prev,hr_death_itt_ps_inc,hr_death_itt_ps_prev,n_oat_od_pp,n_fent_prev_od_mult_pp,n_fent_delta_od_mult_pp,n_fatal_od_oat_pp,hr_oat_pp,p_weibull_scale_ou_pp,p_weibull_shape_ou_pp,p_weibull_scale_abs_pp,p_weibull_shape_abs_pp,n_oat_od_itt,n_fent_prev_od_mult_itt,n_fent_delta_od_mult_itt,n_fatal_od_oat_itt,hr_oat_itt,p_weibull_scale_ou_itt,p_weibull_shape_ou_itt,p_weibull_scale_abs_itt,p_weibull_shape_abs_itt,p_weibull_shape_met_inc_pp,p_weibull_scale_met_inc_pp,p_weibull_shape_met_prev_pp,p_weibull_scale_met_prev_pp,p_weibull_shape_met_inc_itt,p_weibull_scale_met_inc_itt,p_weibull_shape_met_prev_itt,p_weibull_scale_met_prev_itt
low,0.557861513,1.898405757,0,1.43,1.774360882,5.787849146,1.58,1.31,0.24,0.62,1.53,1.37,0.24,0.62,0.000902345,1.618620834,0.429721701,0.006281747,3.782781327,0.023453258,1.422571542,0.018347242,1.264581253,0.001110845,1.609349302,0.487912948,0.006620351,3.975507761,0.05563104,0.901842081,0.030974452,0.933462506,0.640374686,0.184041038,0.69201149,0.283155853,0.489963291,0.198550339,0.492561987,0.271871874
high,0.757861513,3.135126682,0.00015773,11.43,2.331939415,9.828843424,1.76,1.42,1.35,2.78,1.63,1.45,1.35,2.78,0.001085597,1.815179868,0.875941946,0.007840447,4.06128278,0.008508614,1.816633953,0.013009749,1.452877958,0.00121635,1.778736635,0.889527166,0.007618192,4.24720524,0.037300536,1.039308056,0.02597894,1.034028202,0.668353733,0.159401064,0.708323866,0.265826089,0.502844607,0.184278339,0.500038803,0.261366558
