,itt_ps_inc,pp_inc,pp_hd_inc,itt_ps_prev,pp_prev,pp_hd_prev
pe,1.58,1.67,1.72,1.41,1.36,1.33
sd,0.025510204,0.045918367,0.051020408,0.020408163,0.028061224,0.030612245
low,1.53,1.58,1.62,1.37,1.31,1.27
high,1.63,1.76,1.82,1.45,1.42,1.39
