,met_shape_inc,bnx_shape_inc,oat_shape_inc,ouo_shape_inc,abs_shape_inc,met_scale_inc,bnx_scale_inc,oat_scale_inc,ouo_scale_inc,abs_scale_inc,met_shape_prev,bnx_shape_prev,oat_shape_prev,ouo_shape_prev,abs_shape_prev,met_scale_prev,bnx_scale_prev,oat_scale_prev,ouo_scale_prev,abs_scale_prev
pe,0.654214653,0.581543319,0.620660478,0.7060526,0.863697595,0.17147278,0.244036497,0.199177604,0.018378679,0.003964108,0.700120171,0.645456569,0.67926911,0.727763194,0.955640545,0.274431034,0.306360194,0.284148234,0.027963232,0.004009457
sd,0.007137099,0.006258023,0.004740438,0.005171391,0.046528745,0.006285708,0.007595186,0.004789731,0.000706926,0.001522301,0.004161303,0.005046723,0.00319835,0.003179691,0.045296528,0.004420858,0.006370728,0.003606844,0.000591535,0.001319331
low,0.640374686,0.569406263,0.611438588,0.695989266,0.777152318,0.184041038,0.259139749,0.208682199,0.019804133,0.00780591,0.69201149,0.635640579,0.673029295,0.721557721,0.870860027,0.283155853,0.318952514,0.291255576,0.029140412,0.007244071
high,0.668353733,0.59393908,0.630021456,0.716261441,0.959880731,0.159401064,0.22936662,0.189906454,0.017032982,0.001838492,0.708323866,0.655424145,0.685566776,0.734022035,1.048674668,0.265826089,0.29397926,0.277116748,0.026821594,0.002072294
